Scenario - PerceptionDeplacement
Logfile written - 01/02/2021 21:59:03

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

   "experiment": "{511FFCDC-2E1A-453A-8288-A45BB0DEC473}",
   "os": "Windows 10 64 bit",
   "package": "",
   "parameters": {
      "configuration": "Default configuration"
   },
   "scenario": "ExpePerceptionApproche.sce",
   "subject": "BV",
   "timestamp": "2021/01/02 20:32:17 GMT"
}
